"customer_id","order_date","revenue"
"Mr. Brion Stark Sr.",2004-12-20,32
"Ethyl Botsford",2005-05-02,36
"Hosteen Jacobi",2004-03-06,116
"Mr. Edw Frami",2006-03-15,99
"Josef Lemke",2006-08-14,76
"Julisa Halvorson",2005-05-28,56
"Judyth Lueilwitz",2005-03-09,108
"Mr. Mekhi Goyette",2005-09-23,183
"Hansford Moen PhD",2005-09-07,30
"Fount Flatley",2006-04-12,13
"Reynaldo Davis",2004-05-30,149
"Shirl Keebler",2005-03-04,66
"Dr. Aden Murphy",2005-05-27,65
"Hattie Roberts",2004-05-10,92
"Luciano Kling",2005-09-10,96
"Admiral Senger",2006-08-21,78
"Hyman Kemmer",2006-01-18,12
"Torry Reynolds",2005-06-20,132
"Ms. Erica Gottlieb",2004-01-11,65
"Jabbar Dickens",2005-05-14,18
"Gunner Wiegand",2006-09-26,51
"Devante Gerhold",2005-02-09,161
"Dr. Jeff Bartoletti",2006-10-11,47
"Dr. Tyreke DuBuque IV",2005-07-03,38
"Dr. Dell Baumbach III",2004-06-06,187
"Bobby Corwin",2004-02-25,50
"Luciano Kling",2006-01-11,210
"Helyn Ondricka",2005-05-20,76
"Curtis Runolfsdottir",2005-05-15,193
"Dr. Lucious Langosh",2006-09-06,85
"Ronan McLaughlin",2005-12-02,38
"Barrett Turcotte DVM",2004-06-17,46
"Lyndon McClure",2004-07-03,108
"Brooks Funk",2005-08-21,23
"Alf Lueilwitz",2005-06-26,92
"Lilah Blanda PhD",2005-09-28,55
"Daryn Hickle",2005-10-29,178
"Davy Leuschke",2006-03-11,101
"Shirl Kuvalis",2005-10-18,119
"Miss Lovie Keeling DVM",2004-02-09,35
"Burns Mayer",2004-02-03,53
"Elza Gleichner",2005-04-13,187
"Darrion Stoltenberg",2005-05-01,117
"Somer Turcotte",2006-06-24,12
"Mr. Tad Johnson",2004-06-17,194
"Robert Satterfield",2006-08-18,28
"Alf Lueilwitz",2005-01-29,68
"Quintin Tillman",2005-07-23,215
"Vivienne Medhurst",2005-03-30,106
"Holland Lynch",2004-07-06,18
"Davian Ledner",2004-04-06,51
"Vannie Kunze",2005-04-20,25
"Dr. Micayla Kutch",2005-07-29,29
"Dr. Jaren Schmeler",2006-09-20,118
"Gracia Wunsch",2005-06-13,53
"Rebeca Kling",2006-05-05,194
"Avery Bartoletti",2005-09-25,110
"Collie Von MD",2005-07-02,62
"Etta Towne",2005-12-10,59
"Josephus Bradtke DVM",2005-05-25,188
"Jacqueline Nikolaus",2005-03-12,105
"Aileen Barton",2004-01-04,25
"Doshia Stroman",2006-09-20,27
"Texas Keebler",2004-06-26,75
"Triston Mills",2005-11-09,40
"Dr. Kieth Wiegand",2006-06-04,97
"Torrance Pollich",2006-03-07,141
"Essence Metz DDS",2004-03-11,62
"Rochelle Johnson",2006-06-10,36
"Margarette Eichmann DVM",2005-05-29,74
"Omie Cummerata",2004-09-12,70
"Casen Kuhlman",2006-12-04,100
"Korey Cronin",2005-09-08,56
"Tia Zulauf",2006-03-13,17
"Mitzi Bergstrom",2004-08-05,108
"Latoya Stanton",2004-12-19,121
"Winifred Kris",2004-06-27,65
"Suzette Pollich",2006-01-30,58
"Delfina Watsica MD",2005-05-14,51
"Mykel Johnson",2005-08-07,54
"Marcello Torphy Jr.",2006-02-16,53
"Cary McGlynn",2004-05-05,55
"Rolla Hodkiewicz",2004-09-30,100
"Dr. Cheyenne Dach DVM",2004-02-17,76
"Mrs. Lucetta Auer",2004-10-23,44
"Devaughn Erdman V",2005-05-12,190
"Benji Jacobson",2004-07-26,64
"Miss Katelynn Lebsack DVM",2005-02-28,39
"Amina Renner",2006-05-30,103
"Miss Halle Davis DDS",2006-08-21,54
"Dr. Jeannie Rutherford",2004-10-10,124
"Essence Metz DDS",2005-12-17,69
"Casen Blick V",2005-12-05,38
"Miss Haleigh Wilkinson",2004-12-28,178
"Alex Armstrong",2005-07-07,105
"Warren Osinski",2006-08-24,59
"Mr. Lary Champlin",2006-02-20,20
"Mr. Armin Klocko IV",2005-08-05,80
"Dr. Bree Stehr DVM",2005-07-10,10
"Dow Halvorson",2005-06-19,163
"Shirl Keebler",2006-10-02,13
"Dr. Valentine Volkman DVM",2006-08-13,83
"Mrs. Hildur Mante",2005-10-26,133
"Ivy Kohler",2004-04-04,214
"Dr. Darl Rice",2004-07-25,107
"Murl Wilkinson II",2005-04-29,38
"Jayden Hayes",2005-08-29,30
"Franz Mohr",2005-05-01,116
"Byrd Kuhn MD",2005-05-21,14
"Buddie Terry MD",2004-10-03,104
"Candido Krajcik",2006-05-30,119
"Ms. Maebell Reinger DVM",2005-06-10,164
"Dwan Wilderman",2006-07-10,72
"Laisha VonRueden",2006-09-26,184
"Damarcus Erdman II",2005-10-11,155
"Elinor Howell",2005-07-02,88
"Johney Mayer",2004-06-20,50
"Hiroshi Terry",2004-09-28,58
"Lyndsey Heidenreich",2004-07-01,158
"Ebb Doyle",2004-09-26,34
"Roger Green",2004-02-21,214
"Chastity Greenfelder PhD",2005-06-10,71
"Almedia Yundt",2006-08-07,154
"Katlyn Mann",2005-07-11,35
"Juana Bogan",2004-08-25,26
"Aubrey Witting",2004-12-04,95
"Makenzie Hintz",2004-06-17,169
"Kalvin Prosacco",2005-11-16,58
"Yazmin Borer MD",2004-03-05,111
"Shelton Hudson",2004-03-06,17
"Kem Medhurst II",2005-05-07,110
"Herschel Flatley",2004-07-19,32
"Miss Jovita Reinger",2006-06-14,157
"Mrs. Oneta Lebsack",2006-04-17,16
"Elizbeth West",2005-01-03,45
"Skylar Hoeger",2004-11-22,125
"Alfred Metz",2006-04-27,15
"Mrs. Alysa Cummings",2004-10-07,69
"Holland Lynch",2005-09-01,59
"Miss Kesha Daniel",2006-10-13,24
